State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Maharashtra,0,2006,2,32,153900.0,248100.0
Maharashtra,0,2006,3,7,8300.0,13100.0
Maharashtra,0,2006,3,10,1200.0,1800.0
Maharashtra,0,2006,3,27,100.0,100.0
Maharashtra,0,2007,1,0,146.0,79.0
Maharashtra,0,2007,1,1,2326.0,1741.0
Maharashtra,0,2007,1,3,4.0,1.0
Maharashtra,0,2007,1,4,400.0,821.0
Maharashtra,0,2007,1,7,61.0,54.0
Maharashtra,0,2007,1,8,1.0,1.0
Maharashtra,0,2007,1,10,236.0,735.0
Maharashtra,0,2007,1,12,210.0,144.0
Maharashtra,0,2007,1,19,26.0,23.0
Maharashtra,0,2007,1,21,86.0,102.0
Maharashtra,0,2007,1,23,8.0,3.0
Maharashtra,0,2007,1,25,554.0,845.0
Maharashtra,0,2007,1,27,94.0,69.0
Maharashtra,0,2007,1,31,93.0,36.0
Maharashtra,0,2007,2,5,873.0,603.0
Maharashtra,0,2007,2,8,5034.0,2840.0
Maharashtra,0,2007,2,9,11.0,3.0
Maharashtra,0,2007,2,10,125.0,274.0
Maharashtra,0,2007,2,20,2.0,1.0
Maharashtra,0,2007,2,22,146.0,87.0
Maharashtra,0,2007,2,23,1.0,1.0
Maharashtra,0,2007,2,27,25.0,29.0
Maharashtra,0,2007,2,32,1309.0,2711.0
Maharashtra,0,2007,3,7,26.0,40.0
Maharashtra,0,2007,3,10,11.0,16.0
Maharashtra,0,2007,3,27,1.0,1.0
Maharashtra,0,2007,4,26,1333.0,103974.0
Maharashtra,0,2008,1,0,2700.0,1200.0
Maharashtra,0,2008,1,1,128200.0,92400.0
Maharashtra,0,2008,1,3,100.0,25.0
Maharashtra,0,2008,1,4,59300.0,93300.0
Maharashtra,0,2008,1,7,2600.0,2200.0
Maharashtra,0,2008,1,8,100.0,100.0
Maharashtra,0,2008,1,10,22100.0,69500.0
Maharashtra,0,2008,1,12,600.0,100.0
Maharashtra,0,2008,1,13,1400.0,400.0
Maharashtra,0,2008,1,19,2600.0,2600.0
Maharashtra,0,2008,1,21,9300.0,9100.0
Maharashtra,0,2008,1,23,100.0,100.0
Maharashtra,0,2008,1,25,55500.0,40100.0
Maharashtra,0,2008,1,26,77500.0,5564800.0
Maharashtra,0,2008,1,27,3900.0,2100.0
Maharashtra,0,2008,1,31,600.0,200.0
Maharashtra,0,2008,2,5,90500.0,65700.0
Maharashtra,0,2008,2,8,507200.0,327800.0
Maharashtra,0,2008,2,9,600.0,100.0
Maharashtra,0,2008,2,10,102.0,280.0
Maharashtra,0,2008,2,20,100.0,10.0
Maharashtra,0,2008,2,22,11100.0,7000.0
Maharashtra,0,2008,2,23,100.0,100.0
Maharashtra,0,2008,2,27,2500.0,1700.0
Maharashtra,0,2008,2,32,138200.0,219200.0
Maharashtra,0,2008,4,26,77500.0,5564800.0
Maharashtra,0,2009,1,0,12100.0,6200.0
Maharashtra,0,2009,1,1,190700.0,115400.0
Maharashtra,0,2009,1,3,100.0,18.0
Maharashtra,0,2009,1,4,82700.0,125100.0
Maharashtra,0,2009,1,7,3600.0,2700.0
Maharashtra,0,2009,1,10,38500.0,110300.0
Maharashtra,0,2009,1,12,12800.0,7800.0
Maharashtra,0,2009,1,13,1900.0,500.0
Maharashtra,0,2009,1,19,2600.0,1700.0
Maharashtra,0,2009,1,21,7400.0,2800.0
Maharashtra,0,2009,1,23,300.0,20.0
Maharashtra,0,2009,1,25,58000.0,53200.0
Maharashtra,0,2009,1,26,75600.0,6339000.0
Maharashtra,0,2009,1,27,7500.0,2500.0
Maharashtra,0,2009,1,31,10700.0,5000.0
Maharashtra,0,2009,2,5,102300.0,75700.0
Maharashtra,0,2009,2,8,520500.0,350600.0
Maharashtra,0,2009,2,9,600.0,100.0
Maharashtra,0,2009,2,10,11600.0,26000.0
Maharashtra,0,2009,2,20,100.0,50.0
Maharashtra,0,2009,2,22,11100.0,8500.0
Maharashtra,0,2009,2,23,100.0,23.0
Maharashtra,0,2009,2,27,2200.0,1200.0
Maharashtra,0,2009,2,32,129500.0,216000.0
Maharashtra,0,2010,1,0,17600.0,11300.0
Maharashtra,0,2010,1,1,196000.0,186800.0
Maharashtra,0,2010,1,4,101700.0,221100.0
Maharashtra,0,2010,1,7,4200.0,3600.0
Maharashtra,0,2010,1,10,45300.0,139500.0
Maharashtra,0,2010,1,12,15900.0,12400.0
Maharashtra,0,2010,1,13,1900.0,700.0
Maharashtra,0,2010,1,19,2800.0,2600.0
Maharashtra,0,2010,1,21,7500.0,7000.0
Maharashtra,0,2010,1,23,500.0,100.0
Maharashtra,0,2010,1,25,50700.0,90800.0
Maharashtra,0,2010,1,26,126000.0,11516400.0
Maharashtra,0,2010,1,27,8200.0,3400.0
Maharashtra,0,2010,1,31,12100.0,7700.0
Maharashtra,0,2010,2,5,115200.0,94000.0
Maharashtra,0,2010,2,8,540000.0,318000.0
Maharashtra,0,2010,2,9,500.0,100.0
Maharashtra,0,2010,2,10,13200.0,26300.0
Maharashtra,0,2010,2,22,8800.0,5300.0
Maharashtra,0,2010,2,23,100.0,30.0
Maharashtra,0,2010,2,27,1000.0,800.0
Maharashtra,0,2010,2,32,133700.0,248900.0
Maharashtra,0,2011,1,0,12800.0,6400.0
Maharashtra,0,2011,1,1,184700.0,179500.0
Maharashtra,0,2011,1,3,100.0,20.0
Maharashtra,0,2011,1,4,112000.0,238100.0
Maharashtra,0,2011,1,7,4500.0,3300.0
Maharashtra,0,2011,1,10,46300.0,125500.0
Maharashtra,0,2011,1,12,6400.0,1700.0
Maharashtra,0,2011,1,13,1900.0,700.0
Maharashtra,0,2011,1,17,6200.0,1100.0
Maharashtra,0,2011,1,19,2800.0,3200.0
Maharashtra,0,2011,1,21,7900.0,7800.0
Maharashtra,0,2011,1,23,500.0,100.0
Maharashtra,0,2011,1,25,58600.0,122700.0
Maharashtra,0,2011,1,27,3200.0,1500.0
Maharashtra,0,2011,1,31,8100.0,7500.0
Maharashtra,0,2011,2,5,45300.0,27700.0
Maharashtra,0,2011,2,8,434600.0,123200.0
Maharashtra,0,2011,2,9,300.0,100.0
Maharashtra,0,2011,2,10,9200.0,22600.0
Maharashtra,0,2011,2,15,300.0,300.0
Maharashtra,0,2011,2,22,6700.0,1800.0
Maharashtra,0,2011,2,23,200.0,119.9
Maharashtra,0,2011,2,27,400.0,200.0
Maharashtra,0,2011,2,32,48100.0,88700.0
Maharashtra,0,2011,3,7,6800.0,10500.0
Maharashtra,0,2011,3,27,100.0,100.0
Maharashtra,0,2011,4,26,129500.0,11879200.0
Maharashtra,0,2012,1,0,9500.0,2200.0
Maharashtra,0,2012,1,1,160500.0,55400.0
Maharashtra,0,2012,1,3,200.0,20.0
Maharashtra,0,2012,1,4,96200.0,88100.0
Maharashtra,0,2012,1,7,4200.0,2400.0
Maharashtra,0,2012,1,10,45000.0,91900.0
Maharashtra,0,2012,1,12,5700.0,600.0
Maharashtra,0,2012,1,13,2000.0,700.0
Maharashtra,0,2012,1,17,3800.0,600.0
Maharashtra,0,2012,1,19,2800.0,3100.0
Maharashtra,0,2012,1,21,7500.0,4600.0
Maharashtra,0,2012,1,23,300.0,100.0
Maharashtra,0,2012,1,25,56800.0,28100.0
Maharashtra,0,2012,1,27,1400.0,500.0
Maharashtra,0,2012,1,31,6100.0,1100.0
Maharashtra,0,2012,2,5,59400.0,21700.0
Maharashtra,0,2012,2,8,444800.0,67000.0
Maharashtra,0,2012,2,9,400.0,40.0
Maharashtra,0,2012,2,10,14700.0,24800.0
Maharashtra,0,2012,2,15,1500.0,500.0
Maharashtra,0,2012,2,22,1000.0,50.0
Maharashtra,0,2012,2,27,200.0,50.0
Maharashtra,0,2012,2,32,38900.0,46100.0
Maharashtra,0,2012,3,7,1000.0,1200.0
Maharashtra,0,2012,3,10,200.0,200.0
Maharashtra,0,2012,4,26,115500.0,8235700.0
Maharashtra,0,2013,1,0,11000.0,9200.0
Maharashtra,0,2013,1,1,181800.0,188200.0
Maharashtra,0,2013,1,4,104700.0,222400.0
Maharashtra,0,2013,1,7,4700.0,3700.0
Maharashtra,0,2013,1,10,61000.0,296900.0
Maharashtra,0,2013,1,12,5700.0,4800.0
Maharashtra,0,2013,1,13,2000.0,700.0
Maharashtra,0,2013,1,17,10400.0,3100.0
Maharashtra,0,2013,1,19,2800.0,3600.0
Maharashtra,0,2013,1,21,7900.0,19000.0
Maharashtra,0,2013,1,23,200.0,100.0
Maharashtra,0,2013,1,25,65900.0,74500.0
Maharashtra,0,2013,1,27,1300.0,800.0
Maharashtra,0,2013,1,31,6100.0,3000.0
Maharashtra,0,2013,2,5,120700.0,93300.0
Maharashtra,0,2013,2,8,503900.0,354500.0
Maharashtra,0,2013,2,9,200.0,100.0
Maharashtra,0,2013,2,10,20900.0,59300.0
Maharashtra,0,2013,2,15,800.0,400.0
Maharashtra,0,2013,2,22,1600.0,200.0
Maharashtra,0,2013,2,23,600.0,100.0
Maharashtra,0,2013,2,27,100.0,1960.690476190476
Maharashtra,0,2013,2,32,51900.0,100700.0
Maharashtra,0,2013,3,7,1500.0,2400.0
Maharashtra,0,2013,3,10,1000.0,1500.0
Maharashtra,0,2013,4,26,110800.0,9643600.0
Maharashtra,0,2014,1,0,9100.0,1800.0
Maharashtra,0,2014,1,1,186000.0,107700.0
Maharashtra,0,2014,1,3,100.0,72.18181818181819
Maharashtra,0,2014,1,4,102600.0,96700.0
Maharashtra,0,2014,1,7,4300.0,2800.0
Maharashtra,0,2014,1,10,68100.0,176100.0
Maharashtra,0,2014,1,12,5600.0,3200.0
Maharashtra,0,2014,1,13,1500.0,400.0
Maharashtra,0,2014,1,17,3000.0,800.0
Maharashtra,0,2014,1,19,3000.0,3300.0
Maharashtra,0,2014,1,21,8600.0,2200.0
Maharashtra,0,2014,1,25,58200.0,35900.0
Maharashtra,0,2014,1,27,800.0,400.0
Maharashtra,0,2014,2,5,115200.0,85200.0
Maharashtra,0,2014,2,8,443600.0,279800.0
Maharashtra,0,2014,2,9,200.0,196.4375
Maharashtra,0,2014,2,10,29400.0,57600.0
Maharashtra,0,2014,2,15,900.0,200.0
Maharashtra,0,2014,2,22,700.0,7764.8125
Maharashtra,0,2014,2,27,100.0,1960.690476190476
Maharashtra,0,2014,2,32,57200.0,85000.0
Maharashtra,0,2014,3,7,1600.0,2300.0
Maharashtra,0,2014,3,10,200.0,400.0
Maharashtra,0,2014,4,26,122000.0,11761000.0
Maharashtra,1,1997,1,0,81200.0,64400.0
Maharashtra,1,1997,1,1,5600.0,2400.0
Maharashtra,1,1997,1,5,37500.0,14800.0
Maharashtra,1,1997,1,8,193600.0,290100.0
Maharashtra,1,1997,1,10,700.0,800.0
Maharashtra,1,1997,1,12,119400.0,43100.0
Maharashtra,1,1997,1,18,2853.0,1497.0
Maharashtra,1,1997,1,21,2900.0,1600.0
Maharashtra,1,1997,1,30,4890.0,4451.0
Maharashtra,1,1997,1,31,81400.0,41000.0
Maharashtra,1,1997,2,8,3400.0,900.0
Maharashtra,1,1997,2,15,10.0,1.0
Maharashtra,1,1997,2,32,20900.0,21800.0
Maharashtra,1,1997,4,4,3582.0,183400.0
Maharashtra,1,1998,1,0,77300.0,88300.0
Maharashtra,1,1998,1,1,5600.0,2900.0
Maharashtra,1,1998,1,3,100.0,100.5
Maharashtra,1,1998,1,4,360300.0,246500.0
Maharashtra,1,1998,1,7,1600.0,1100.0
Maharashtra,1,1998,1,8,165800.0,244000.0
Maharashtra,1,1998,1,10,400.0,800.0
Maharashtra,1,1998,1,12,121400.0,93600.0
Maharashtra,1,1998,1,16,1100.0,700.0
Maharashtra,1,1998,1,17,3400.0,1300.0
Maharashtra,1,1998,1,21,2900.0,2000.0
Maharashtra,1,1998,1,23,8100.0,2800.0
Maharashtra,1,1998,1,25,77800.0,105900.0
Maharashtra,1,1998,1,26,1500.0,124400.0
Maharashtra,1,1998,1,27,2900.0,900.0
Maharashtra,1,1998,1,31,76700.0,56100.0
Maharashtra,1,1998,2,5,56500.0,38600.0
Maharashtra,1,1998,2,8,1100.0,400.0
Maharashtra,1,1998,2,10,100.0,100.0
Maharashtra,1,1998,2,15,100.0,100.0
Maharashtra,1,1998,2,20,200.0,35.1
Maharashtra,1,1998,2,22,25100.0,18400.0
Maharashtra,1,1998,2,23,100.0,718.2352941176471
Maharashtra,1,1998,2,27,11200.0,5500.0
Maharashtra,1,1998,2,32,25800.0,31600.0
Maharashtra,1,1998,3,7,2300.0,2000.0
Maharashtra,1,1998,3,27,1200.0,1200.0
Maharashtra,1,1999,1,0,46000.0,58000.0
Maharashtra,1,1999,1,1,2300.0,1200.0
Maharashtra,1,1999,1,4,239600.0,234100.0
Maharashtra,1,1999,1,7,200.0,100.0
Maharashtra,1,1999,1,8,87800.0,133500.0
Maharashtra,1,1999,1,10,100.0,100.0
Maharashtra,1,1999,1,12,56700.0,32100.0
Maharashtra,1,1999,1,17,500.0,300.0
